"id","close_date","price","close_price","zip"
36,"2012-9-28",215000,197500,30004
41,"2012-10-26",18000,25000,30349
64,"2012-12-17",449000,380000,"30506-1061"
68,"2012-9-28",186900,185000,30076
96,"2012-12-14",35000,32000,30213
109,"2012-12-14",188900,185000,"30075-4851"
147,"2012-10-19",259000,254000,30324
273,"2012-11-09",299900,281000,30306
285,"2012-11-07",279000,260000,"30004-6618"
287,"2012-12-06",275000,234299,"30004-3041"
341,"2012-9-12",194900,175000,"30004-5105"
348,"2012-11-07",200000,185000,30004
421,"2012-5-22",119900,100000,30075
422,"2012-7-31",25000,12000,30075
423,"2012-6-05",200000,200000,30075
424,"2012-6-07",29900,40000,30315
2806,"2012-5-07",339500,339500,30075
3395,"2012-3-26",159900,139500,"30009-3451"
3470,"2012-1-23",199900,195000,30004
3479,"2012-2-03",239000,210000,30076
3611,"2012-3-30",480000,470000,30004
3728,"2012-3-30",425000,439656,"30004-4192"
3741,"2012-4-30",429000,418000,"30075-5581"
3769,"2012-2-29",485100,485100,30004
3801,"2012-3-27",359900,318000,"30075-8352"
3860,"2012-1-10",275000,230000,"30075-1363"
3893,"2012-1-31",188500,179500,30004
3897,"2012-1-20",499000,480000,"30004-4319"
3908,"2012-7-02",349000,315000,30004
3945,"2012-7-26",155000,155000,"30009-3716"
3956,"2012-1-05",199900,165000,"30009-3247"
3981,"2012-6-22",185000,185000,"30004-4070"
3994,"2012-5-18",359900,340000,"30004-6952"
3998,"2012-5-18",325000,301500,"30076-1079"
4009,"2012-1-19",185000,170000,30075
4018,"2012-1-31",279900,196875,30076
4019,"2012-1-13",400000,400188,30075
4032,"2012-1-06",189900,161500,30004
4052,"2012-2-29",49900,52000,"30075-1181"
4056,"2012-3-23",161975,170000,"30004-6371"
4057,"2012-2-29",499000,475000,"30075-6472"
4060,"2012-6-15",184500,190366,30076
4063,"2012-8-16",249900,225000,30076
4071,"2012-3-07",169900,160000,30004
4077,"2012-1-06",192600,122000,30076
4101,"2012-7-30",125000,125000,"30075-2706"
4109,"2012-6-15",450000,417500,"30004-7153"
4112,"2012-7-26",189000,199000,30075
4116,"2012-6-11",335000,336500,"30004-4552"
4123,"2012-2-22",164900,152000,30004
4124,"2012-5-31",349000,330000,"30075-8352"
4125,"2012-2-13",239900,178500,"30076-1030"
4138,"2012-5-18",255000,260000,"30004-0000"
4145,"2012-3-13",199000,202500,"30075-2741"
4148,"2012-1-23",138900,93450,"30075-2814"
4149,"2012-1-11",349500,334000,"30076-1078"
4151,"2012-1-25",89900,89900,30076
4156,"2012-1-27",465000,480000,30004
4157,"2012-1-03",225000,217900,30009
4158,"2012-5-31",225000,182000,30075
4171,"2012-3-09",363400,368585,30022
4172,"2012-2-29",419000,405000,"30009-7137"
4173,"2012-5-14",399000,361500,30004
4174,"2012-1-13",379000,365000,"30004-4087"
4190,"2012-4-30",434900,425000,30075
